Label;edited
__label__NO; А в кого вже є температура - то доторкнутися носом в тому місці  де гарна розмітка три рази і хвороба позаду
__label__NO; а в Україні карантин вже давно
__label__NO; А вам дадуть вони пораду: Валіть з під ніг   не трубіть зраду
__label__NO; А ви всі у минулі і теперешні все прокрали про грабили а тепер людей хворих вони сортувать будуть
__label__NO; А далі край
__label__NO; А де ж та страшна смертельна небезпека
__label__NO; А де жви були з весни
__label__NO; А жінка не виносить за місяць
__label__HATE ; А значить страх може гнати їх будь куди  хоч в концтабор  хоч до голоду  де вони будуть їсти своїх дітей  щоб навіщось вижити
__label__NO; А китайцям  які в мегаполісах живуть зі щільністю мурашників  допомогло
__label__NO; А коли дозволять кисень всім виробникам продавати у лікарні  а не лише тим  які заносять у кишеню зє владі
__label__NO;" А коли не знаєте що робити  то зверніться до українців лише з одним питанням (не про канабіс  не про марихуану) : ""А чи довго Ви ще будете нас терпіти"
__label__NO; А може їй саме так треба
__label__NO; А може їй саме так треба
__label__NO; а на цю війну 
__label__HATE ; А не госпіталізують  бо вони сруть на безпеку свою і на безпеку оточуючих  і тому лікарні вже не витримують кількістного навантаження
__label__NO; А особливо коли з фактами повна нескладуха
__label__NO; А от в судах  де підтверджені випадки захворювання серед службовців  ходять реально без масок  тих хто шрафувати буде
__label__HATE ; А придурки продовжують ігнорувати загрозу
__label__NO; А район великий  людей величезна кількість
__label__NO; А россіян в США дофіга - блумберг ньюс і тп
__label__HATE ; а та брехня  яка зараз розходиться  щоб прикрити зелені дупи від того  що вони накоїли - взагалі в жодні рамки не входить
__label__HATE ;" А такі розумники ""а давайте ми Франції заборонимо"" - сходіть на Київський залізничний вокзал та вимагайте тестім у гівно-натовпу  що кожен день през зі сморідної раші"
__label__NO; а тепер ви тут триндьож влаштовуваєте 
__label__HATE ; А тепер вони радять  падлюки
__label__HATE ; А тепер росіяни розповідають  який же зе ідіот серед президентів
__label__NO; А ти продовжуй вірити - радуцкім   то твоя справа 
__label__NO; А ти шось там шепчеш
__label__NO; А ті хто її запланував зразу сказали - два роки вам жити в хаосі  а далі побачимо
__label__NO; А той  який ти схвалював
__label__NO; А трансфекувати гібридому вектором  що несе маркер відбору - рутинна процедура в біотехнології
__label__NO; А треба  що б їх вакцинували  на камери  саме тим шмурдяком
__label__HATE ; А ці йолопи не шевелились
__label__NO; А ця тва 
__label__NO; а через пів року я так думаю і пенсії платить не будуть бо наджоджень не буде
__label__NO; А чувак який представляв цю вакцину аналог того що презнтував LNG-термінал в Одесі  в часи чивокуня
__label__HATE ; А що б проти ЗЕбикоти ніхто не чинив опору і не надумали перевибори вчиняти
__label__NO; А що військовий стан не введено наявність обовязкова документів не передбачена  як і на кого будуть оформляти ті штрафи
__label__NO; А що робиться в українській глибинці  у районах  селах
__label__HATE ; Або - в Держстаті засіли переконані порохоботи
__label__NO; Або - Зеленський просто цинічно бреше
__label__NO; Абсолютно рівна лінія з цього числа на графіку смертей з ковідом в Китаї вам у доказ
__label__NO; Адекватні ж люди в дива не вірять
__label__NO; Адже тенденція ясна
__label__NO; Аж дивно чому вони мінстат не нагнули ще
__label__NO; Ай-яй-яй
__label__NO; Але  що це тоді - китайська перемога над страшним вірусом  якщо це не диво  якого бути не може  не ліки  яких не існує і не вакцина  яку ще не розробили
__label__HATE ; Але в ваших кремлівських методічіках про це не написано
__label__HATE ; Але в дебіловізорі такого не покажуть
__label__NO; Але ви зедебілам  тому придумали дебільно неефективний карантин вихідного дня
__label__NO; але все закінчиться курильщиками в поїздах
__label__NO; Але вся пропагандистська махіна заточена на одну ціль: не допускати і гасити репутаційні втрати Ермака
__label__HATE ; Але дебіли не бачать різниці від хірургів у масках і рукавичках із дуже старанно митими руками і пересічних у кількаденній ( у мене не один місяць) масці і руках протертих метилом ( як на мене оцет значно кращий)
__label__NO; Але до вас це не стосується
__label__NO; Але ж ви  курви  виріши закатати більшість цих коштів в асфальт  на радість Бєні
__label__HATE ; Але ж ти цікавишся версією журнашлюх  тому віриш у всяку нісенітницю
__label__HATE ; Але ж то не йдуть  скотиняки
__label__HATE ; Але зебілам -какая разнітца  а порохатим теж  бо їм думати нема чим
__label__HATE ; Але зебіли--ви також в тому числі будете помирати
__label__NO; Але картинки все рівно попритулювали  =віруни=
__label__NO; Але мерло в середньому кільканадцять чоловік на всю
__label__NO; Але ми цього точно не побачимо
__label__HATE ; Але насправді дві: англійська і кацапська
__label__NO; Але наші люди
__label__NO; Але ні  тож мене коробить від брехні  коли я слухаю ці брифінги з казочками  що лікарні всім забезпечені
__label__HATE ; Але пархаті не обмежуються масками - пархаті ПРИМУСОВО  СИЛОЮ ЗУПИНЯЮТЬ ПІДПРИЄМСТВА
__label__NO; Але хіба це означає  що я - психічна дуринда  як назвала мене твоя подружка 
__label__NO; Але це після мишей  кроликів  морських свинок
__label__HATE ; Але я дійсно розумію що саме кремлівські пропагандони прагнуть переконати українців  що їх країна філія Ізраїлю
__label__NO; Анатолій Березенський
__label__HATE ; Антиковідники-антимасочники-антидарвіністи кажуть  шо то всьо фігня  не треба боятися
__label__NO; Аот ускладненя після простого грипу не завжди смертельна пневмонія
__label__NO; артисти
__label__NO; Баба Юля  порох з діабетом  кернес злодій доходяга всі вони з зони ризику
__label__NO; Багато прихованого  непрозорого  різкі зміни
__label__NO; Багатьох посадили за це
__label__NO; балаболи
__label__NO; Банально немає обладнання щоб хоч діагностувати наявність патології в легенях
__label__HATE ; Більше зелеублюдков  ненавиджу його виборців
__label__NO; БЛОКУВАННЯ Його роботи 
__label__NO; Бо будуть виявлені носії  а не лише хворі
__label__HATE ; Бо в нас безкоштовно лише главзєбілів перевіряють
__label__NO; Бо вірус я не заперечувала і не заперечую
__label__NO; Бо дебіли не знають що школи в першу чергу слід закривати
__label__NO; Бо саме Держстат на цифрах доводив  шо янучари грабували країну  а не те що вони казали
__label__NO; Бо самі собі брешуть
__label__NO; Бо смердить від цього обшуку
__label__NO; Бо там нічого читати
__label__NO; Бо тільки їхні три «контори» Ложать асфальт - в них договори Який втричі дорожче став  Щоб їх «бомонд» моржу дістав Що ж ви чекали дурні лохи  Від олігархів й скоморохи
__label__NO; Бо тут зібралися тупі чуваки  які вважають  що поламати - то більше досягнення  ніж побудувати
__label__NO; Бо українці ну
__label__HATE ; Бо цілком може трапитись  що москалі в силу вроджених дебілуватості та клишорукості новим штамом коронавірусу оголосили запущену гонорею
__label__NO; Бо щось вони на своїх каналах так її рекламують  що стопудов самі не випробували
__label__NO; Бо якщо не він їх продав  то чому немає справи
__label__NO; Бо якщо станеться  як з талідомідом буде армія інвалідів
__label__HATE ; Брєд рагульного совка
__label__NO; Будуть відмазуватись
__label__NO;" Було одне  що цноту втрачало від камери  а тепер інше  багатосерійне  що ввійшло в кураж та на ""Оскара"" надіється"
__label__NO; Бумерангу їм всім
__label__HATE ; в висоорганізованих азіятських мурашниках із строгою дисціпліною
__label__HATE ; В Європі несподівано образувався дєфіцит негрів і арабів
__label__NO; В Китаї
__label__HATE ; В країні ідіотів по іншому напевно і не може бути
__label__NO; В маленьких крамницях не більше трьох осіб
__label__NO; В мене велика підозра  що вони пішли в татка
__label__NO; В мене немає підстав не вірити рідній дочці лікарю 
__label__NO;" В поліклініках в районах міста Дніпро  зокрема у АНД районі  не працюють навіть рентген апарати  бо ""паламались""  і ніхто новий не купить  і не відремонтує старий"
__label__HATE ; В самій Московіі  є лише торфяні болота та криві берези 
__label__NO; В супермаркетах купа російських товарів  газ і бензин теж кацапські
__label__NO; в ТРИЧІ переважають фізичні 
__label__NO; Вакцинувати в першу чергу
__label__HATE ; Вакцинуйтесь кацапськими примочками мертвейчука (от чого воно досі не сидить
__label__HATE ;" Ватніки юга-вастока вийдуть з тимчасового ""помутнєнія по приколу"" і підуть голосувати за медведчука і іншу ригокоцапську кодлу"
__label__NO; вашу ж
__label__NO;" Великий ""начальник Госпродпотребслужбы Киева"" вирішив внести свій посильний вклад в роздмухування безпідставної істерії"
__label__NO; вже дуже терплячий народ  але він здатний в один день народити тисячі ПАРАСЮКІВ  ВЕРБИЦЬКИХ 
__label__NO; Вже розрізняв би хімію і мелекулярну біологію
__label__HATE ; Взагалі рашапомийки не дивись)))
__label__HATE ; Ви  як і всякий москальський найманець прагнете переконати українців в їх меншовартості і в тому  що ними керують євреї
__label__NO; Ви впердє всього світу по ефективності боротьби з пошестю
__label__NO; ви все курви просрали
__label__NO; Ви ж повірили обіцянкам шахраїв  які свої кошти тримають в Ізраілі що вони вам щось зроблять корисне  то маєте і цьому повірити
__label__NO; Ви ж просрали час  бабло 
__label__NO; Ви за нього платите агресору  фінансуючи таким чином тероризм
__label__HATE ; Ви зробили це разом  зебіли
__label__NO; Ви не полководці 
__label__NO; ви тупий дятел  телепень  довбур  чи як вас там ще
__label__NO; Ви український сайт чи де взагалі
__label__NO; Ви ще не зрозуміли  що обрали собі не владу  а саван
__label__NO; Видали вчитeлям (супруг-а вчитeль) лишe одну маску за півтора місяца
__label__NO; виділені на зйомки кіно
__label__NO; Викидаючи людей на вулицю
__label__NO; Вилучають документацію
__label__NO; Вимагаю від @ServiceSsu негайно надати публічні пояснення своїх дій
__label__NO; Випробування проходять у США  Бразилії  Великобританії і багатьох інших країнах
__label__HATE ; Виходить  правду кажуть  що для відгодованих цей вірус не смертельний
__label__NO; Виявляється  прийшло
__label__NO;" Виявляється прийшло"""
__label__NO; від масок ані користі  ані шкоди - нехай люди носять
__label__NO; Візьміть усіх  хто не вірить в вірус і проведіть опитування - відсоткове співвідношення буде +- таким самим  як результати голосування на місцях або в верховну раду
__label__NO; Він - святе  він головна цінність цього режиму
__label__NO;" Він знав що робити і побудував дороги за гроші від ""Ковід""  щоб кожен зміг доторкнутися лівим писком до асфальту і це профілактика захворіти"
__label__HATE ; Він ще безсмертний чи кацапською вакциною привився і увірував 
__label__NO; Віруси - це антивірус планети Земля
__label__NO; Віслюк ти оманський 
__label__NO; Вкидати на ринок по судах затаскають
__label__NO; владу в Україні - прийняла АНТИнародні НЕконституційні гейби законодавчі акти на ЗНИЩЕННЯ України і її НЕОколонізацію 
__label__NO; Влаштували додаткову філію реєстратури і лише виписують направлення до спеціалістів
__label__NO; Вони брешуть коли відкривають рота
__label__NO; Вони думають цим когось обдурити  вірус  наприклад
__label__HATE ; Вони ж не можуть позволити  щоб бандьори пішли на Київ викурювати делітантів
__label__NO; Вони її знищать
__label__NO; Вони мають висіти на стовпах фонарних
__label__NO; Вони прийшли до висновку  що хвороби нирок подвоюють ризик летального результату
__label__HATE ; Вони разом з хворими будуть ізольовані
__label__NO; Вони самі про це пишуть та починають щось підозрювати  а у )(
__label__NO; Воно - твоє
__label__HATE ; Враховуючи ступінь їх «рукожопості»  там буде купа побічних ефектів - почнуть рости цапині роги і копита  шерсть у роті
__label__NO; Все
__label__NO; Все  про що я пишу  це про фальсифікації  маніпуляції інформацією (я наводжу посилання на державні джерела + змі  а не иріпаю язиком  що мені стукне в голову) - вони є
__label__NO; Все буде погано
__label__NO; Все літо змарнували
__label__NO; Всі ж будуть хворі
__label__NO; вся Україна в червоній- ПРИПуЩЕння без підстав
__label__HATE ; Втікли від лап російських імперців-комуністів  попали в лапи євро-марксистів-глобалістів
__label__NO; Вчора по К-Святошинському району вжe другого пeдагога поховали : вчитeлька гeографіі з Юрівськоі школи
__label__HATE ; Гавкають як собаки
__label__HATE ; Галюніки у тебе порохоботе 
__label__NO; Гарант сам говорив  що ми всі ПРЕЗИДЕНТИ  то може вийти на Хрещатик та надерти їм теплі місця  щоб мізками шевелили та про народ подумали і як спасати націю від вимирання
__label__NO; Гарні діти вчаться в зумі  скайпі і вдома  а погані учні - і в школі нічого нe роблять  а втикають в тeлeфони
__label__NO; Грошики на медицину в есктремальних сьогоднішніх умовах уже давно поділені між зеленою сволотою
__label__NO; Гроші осіли у п'ятій лікарні  хоч в них ковідного відділення нема - все у третій лікарні
__label__NO; Грьобані дегенерати 
__label__NO; Дe бeзкоштовнe лікування  якщо вчитeль захворіє
__label__NO; Дe бeзкоштовні тeсти кожeн тиждeнь
__label__NO; Дe страхування здоров
__label__NO; Да і абєзатєльно у виходной
__label__NO; Даа
__label__NO; Дай Бог щоб по тих дорогах залишилось кому їздити 
__label__NO; Дайте людям медикаменти згідно протоколу  ліквідуйте черги на тести  після підтвердження  застосуйте їх локалізацію  лікування
__label__NO; дайте пособія за два тижні тим кого пропонуєте закрити по карантину і все буде норма 
__label__NO; Дали одну масочку на вeст час- виживайтe  як хочeтe
__label__NO; Далі буде
__label__NO; Далі що
__label__NO; Дауняка
__label__HATE ; Дегенератизаціія мавпятника йде за планом
__label__NO; Держава не готова 
__label__NO; Десь з цього ж часу з'являються перші смерті від корони в кількості більше однієї
__label__NO; Дивись/слухай інтерв'ю в оригіналі
__label__NO; Дивна фігня смертельна зараза всіх закрили  а їм як соловю
__label__HATE ; Дивні люди  плюють на безпеку  а потім дивуються чому їх не госпіталізують 
__label__NO;" Дійсно  Оля писала пост про відсутність кисня  коли ситуація була катастрофічна  вона не звинувачувала лікарів  а писала  що ""Бедные врачи в реанимации не знают что делать"
__label__NO; Для тих  хто в дива вірить
__label__NO; для чого
__label__HATE ; До праці раби
__label__HATE ; До речі  не розумію тих  хто радіє африці у Франції
__label__HATE ; довбо
__label__NO; Доки у нас в Україні з кожним підняттям мінімалки буде підійматися максималка у десять разів бажання всіх отримувачів мінімалки буде одне  ЩОБ ВИ ЗДОХЛИ
__label__NO; Допомогло
__label__NO;" Дороги пля вони ""будують"""
__label__NO; Досвід Японії та Кореї довів  що це дуже ефективний інструмент  але тільки якщо дотримуються всі
__label__NO; Друга - англійська
__label__NO; Дуже швидко всі права перейдуть до жінок
__label__NO; Думаю  не одна вона
__label__HATE ; дурантинофіли не здаються 
__label__NO; дякуємо
__label__NO; Дякую за пораду шо як захворію  то краще вже з вікна вийти))(я - дєд)
__label__NO; е селюки
__label__NO; Є батьківськи подарунки
__label__NO; є відпустка велика
__label__NO; Є психічні розлади  це видно неозброєним оком
__label__NO; євреї в Ізраїлі  навіть у найскладніші часи ніколи нікого не звинувачуємо в своїх проблемах  крім самих себе
__label__NO; Єдиний плюс коноплі- це те що при регулярній накурці вона призводить до чоловічої стерильності
__label__NO; Єрмак не наш
__label__HATE ; Жаль  що ковід - це Боже кара для геїв
__label__HATE ; З зЁлопів
__label__NO; З суботи несе
__label__NO; З таким мисленням вам би жити в тоталітарній рашці  півнкореї
__label__NO;" З темника Банкової: ""Не допустить втягивание в скандал вокруг В"
__label__NO; За добу згоріла
__label__NO; За пораду можеш не дякувати   цілком безплатна і в останній раз ((
__label__NO; За стоячих пасажирів наказувати обох- водія та пасажира
__label__NO; забуваючи  що головне право людини - право НА ЗДОРОВ'Я
__label__NO; Завжди так робиться
__label__NO;" Замість виважених кроків із закупівлі та постачання в лікувальні заклади медикаментів (згідно протоколу лікування) та видачі медикаментів (безкоштовно) амбулаторним (середньої важкості  хворим із ковідною пневмонією) з підтвердженими діагнозами  спеціалісти від МОЗу з окремими ""парламентарями"" (щоб нікого не ображати) виношують ідеї штрафів"
__label__NO;" Замість виважених кроків із закупівлі та постачання в лікувальні заклади медикаментів (згідно протоколу лікування) та видачі медикаментів (безкоштовно) амбулаторним (середньої важкості  хворим із ковідною пневмонією) з підтвердженими діагнозами  спеціалісти від МОЗу з окремими ""парламентарями"" (щоб нікого не ображати) виношують ідеї штрафів"
__label__NO; Замість того  щоб закупити ліжка і необхідне одладнання  банда Зе розпилює виділені на лікування пандемії кошти
__label__NO; Замість Трускавецької академії управління у Коломиї відкрити ще медицинську академію чи хоч курси медсестер  щоб навчити  як виносити горшки з під хворих
__label__NO; Замість цього корумповані та дебілкуваті чиновники в нас злочинно відбирають законні права та свободи і нищать економіку 
__label__NO; Зараз - те саме
__label__NO; Зараз в школу будь-кого беруть з вищою освітою  бо вчителі тікають від цього пекла
__label__NO; Зате по-приколу
__label__NO; зате ти розумієшся на брехні Лахтінська наволоч
__label__NO; Зате якщо виживуть то побачать новеньке авто чи новий особнячок у головного лікаря 
__label__NO; захворів коронавірусом
__label__NO; захворювання 
__label__HATE ; Зе- Твари 
__label__HATE ; Зебілам пояснюйте
__label__HATE ; зебіли
__label__HATE ; Зебіли і логіка - два різні всесвіти  які якщо і перетнуться  то ймовірно десь у безкінечності
__label__NO; Зеленський барига наживається і на війні і на епідемії
__label__HATE ; Земля повинна відчиститися від біологічного сміття яким вони Є
__label__NO; Злодії 
__label__NO; Знаєте  хто був найстрашнішим опозиціонером в часи Януковича
__label__HATE ; Знайте бандьори
__label__NO; Знову в Новограді-Волинському обрали чмошників Литвина
__label__HATE ; Зрадофіл
__label__NO; І арбайтен  натюрліх
__label__NO; І буде видно - чи збільшилася загальна смертність порівняно з минулими роками чи ні
__label__NO; і буде інфекувати оточуючих навмисно
V; і вас таких мільони
__label__NO; І вашим нащадкам
__label__HATE ; І видно що ця команда кацапів в повному складі буде знята з етапу Кубка світу в Контіолахті
__label__HATE ; І він вам даунбасятам  відразу ж ввєдьот
__label__NO; І де там розповсюдження
__label__NO; І закрився
__label__HATE ; і коли Конституційний Суд України вказав цим сіоністам -ЗЛОДІЯМ на АНТИнародний ЗМІСТ діянь 
__label__NO; І лише після особистої поїздки ляшка в Миколаєві стало як у людей - двоє  потім ще кілька
__label__NO; І на цьому наполягає Президент України
__label__NO; І навіть це рішення  що тривало пів року  вони вважають за досягнення - черг не буде
__label__NO; І не БЮТ
__label__NO; І не важливо  допомогла вакцина  чи ні
__label__NO; І не вірю я в красіві більш слова Будь ти проклятий  кошерний гуморист  Мука хай твоя до скону аж трива
__label__NO; І не дай Боже нових жахіть та кровопролиття
__label__NO; І не просто звіт  а підтвердження з лікарень  поліклінік  які від фонду хоч щось отримали
__label__NO; І ніхто не знає  ні той хто коле  ніхто  лише дослідник  щоб не збити результат
__label__HATE ; І от диво дивне: від завезеного ще на початку року в Україну ковіду ( з китаю літачок  з італії купа заробітчан і тд) спочатку вмирало від атипової пневмонії від десяти до тридцяти чоловік в день
__label__NO; І після того  як ці бідні створіння приведуть потомство  а щур завтра не вкотиться  потрібен час
__label__NO; І та реакіція заражень відбувалася
__label__HATE ; І так народ в переважній більшості дебільний вони ціле покоління роблять імбіцилами
__label__HATE ; І тільки потім  можливо кацапська
__label__HATE ; І тільки тупорилі люди про не знають
__label__HATE ; І тільки ублюдки про це не знають  бо занадто тупі і не цікавляться біоогією і медициною
__label__NO; І тоді або засоби не дієві  або дієві але лікарі ними не забезпечені  або лікарі ще більші ідіоти ніж ті хто ігнорує запропонованими засобами захисту
__label__NO; І тривалий час
__label__NO; І це прийшло в голову одному з провідних наукових установ Росії
__label__NO; І це реальне диво  якщо не щось інше
__label__NO; І що  нічого не рознесли по всьому іншому Китаю
__label__NO; І що я бачу
__label__NO; І що я несу чуш давай твої когнитивно-дисонансні пруфи  лапать без пруфів ознака усього отого  що ти наляпало
